Date,Open,High,Low,Close,Adj Close,Volume
2016-01-18,27.410000,27.760000,26.170000,27.665001,25.346252,120174800
2016-01-25,27.540001,27.924999,26.809999,27.855000,25.520325,141146600
2016-02-01,27.535000,29.735001,27.190001,29.705000,27.215273,214506200
2016-02-08,29.580000,29.850000,27.350000,28.389999,26.010492,195029600
2016-02-15,28.905001,29.155001,28.295000,28.879999,26.459417,93346800
2016-02-22,29.115000,29.490000,28.299999,28.955000,26.528128,83208800
2016-02-29,29.070000,30.135000,28.844999,29.870001,27.366442,98284000
2016-03-07,29.610001,29.879999,29.025000,29.580000,27.100748,90441200
2016-03-14,29.514999,30.570000,29.315001,29.879999,27.375603,105776000
2016-03-21,29.855000,30.150000,29.344999,30.004999,27.490129,64477600
2016-03-28,29.785000,30.995001,29.725000,30.934999,28.342180,85724600
2016-04-04,30.754999,31.155001,30.400000,30.799999,28.218493,81841200
2016-04-11,30.959999,31.215000,30.629999,30.985001,28.514730,75365600
2016-04-18,30.844999,31.455000,30.190001,30.549999,28.114408,113312400
2016-04-25,30.510000,31.395000,30.010000,30.379999,27.957962,133582200
2016-05-02,30.545000,30.895000,30.250000,30.709999,28.261650,98472200
2016-05-09,30.785000,31.385000,30.594999,30.920000,28.454916,83988600
2016-05-16,30.735001,31.260000,29.809999,30.879999,28.418102,116146000
2016-05-23,30.719999,31.584999,30.715000,31.440001,28.933456,92157200
2016-05-30,31.410000,31.915001,31.250000,31.780001,29.246349,64011400
2016-06-06,31.855000,31.950001,31.059999,31.400000,28.896646,65082000
2016-06-13,31.365000,31.620001,30.924999,31.184999,28.698782,85596400
2016-06-20,31.465000,31.735001,30.330000,30.825001,28.367485,94988800
2016-06-27,30.510000,32.715000,30.485001,32.639999,30.037788,120607200
2016-07-04,32.360001,33.590000,32.279999,33.555000,31.010651,98519200
2016-07-11,33.755001,33.974998,33.340000,33.439999,30.904377,81103800
2016-07-18,33.384998,33.880001,33.110001,33.730000,31.172382,68114000
2016-07-25,33.779999,34.180000,33.259998,33.625000,31.075344,90285400
2016-08-01,33.700001,33.910000,33.209999,33.695000,31.140032,69513800
2016-08-08,33.549999,33.900002,33.314999,33.755001,31.195484,66536200
2016-08-15,33.755001,33.980000,33.090000,33.145000,30.631746,66981200
2016-08-22,33.180000,33.360001,32.580002,32.755001,30.271315,75662400
2016-08-29,32.834999,33.279999,32.485001,33.080002,30.571669,67727800
2016-09-05,33.020000,33.224998,32.415001,32.555000,30.086477,73360600
2016-09-12,32.474998,33.215000,32.369999,32.959999,30.460768,104777200
2016-09-19,32.990002,33.764999,32.790001,33.575001,31.029142,81494200
2016-09-26,33.625000,33.625000,32.799999,33.169998,30.654842,88312800
2016-10-03,32.939999,33.189999,32.480000,32.680000,30.202003,73999600
2016-10-10,32.735001,32.994999,32.105000,32.599998,30.253479,72056800
2016-10-17,32.570000,32.790001,31.785000,32.029999,29.724504,87495200
2016-10-24,32.794998,32.814999,30.299999,30.940001,28.712969,166423400
2016-10-31,31.094999,31.260000,30.020000,30.330000,28.146868,104531400
2016-11-07,30.764999,33.285000,30.525000,33.230000,30.838135,168570400
2016-11-14,33.090000,34.360001,33.090000,34.169998,31.710463,136247800
2016-11-21,34.165001,34.959999,33.985001,34.580002,32.090958,69514600
2016-11-28,34.395000,35.165001,34.009998,34.389999,31.914631,119142200
2016-12-05,34.509998,34.740002,34.035000,34.724998,32.225525,96847000
2016-12-12,34.514999,35.345001,34.255001,34.930000,32.415768,104235400
2016-12-19,35.080002,35.599998,34.735001,35.325001,32.782337,73526800
2016-12-26,35.400002,35.660000,34.465000,34.525002,32.039917,51751400
2017-01-02,34.834999,35.270000,34.115002,35.134998,32.734444,76195200
2017-01-09,35.070000,36.470001,35.025002,36.384998,33.899044,103900800
2017-01-16,36.105000,36.805000,35.910000,36.785000,34.271721,78642800
2017-01-23,36.775002,38.435001,36.445000,37.974998,35.380405,136578400
2017-01-30,37.924999,38.095001,37.235001,37.630001,35.058983,100510200
2017-02-06,37.595001,37.639999,37.224998,37.575001,35.007740,73261200
2017-02-13,37.599998,38.330002,37.509998,37.660000,35.086926,85947600
2017-02-20,38.029999,38.220001,37.410000,37.889999,35.301216,51498600
2017-02-27,37.759998,37.830002,37.180000,37.220001,34.676994,65105600
2017-03-06,37.070000,37.639999,36.900002,37.320000,34.770161,64576100
2017-03-13,37.320000,37.990002,37.139999,37.459999,34.900597,77457900
2017-03-20,37.529999,37.750000,36.810001,37.380001,34.826061,70442300
2017-03-27,37.189999,37.689999,36.689999,37.590000,35.021709,64059900
2017-04-03,37.470001,38.349998,37.240002,38.029999,35.431652,85465800
2017-04-10,37.950001,38.070000,36.990002,37.139999,34.748512,68202300
2017-04-17,37.299999,38.250000,37.049999,38.160000,35.702843,87378600
2017-04-24,38.590000,40.619999,37.990002,39.189999,36.666512,118647000
2017-05-01,39.419998,39.450001,37.910000,39.009998,36.498104,92083300
2017-05-08,39.330002,39.360001,38.779999,38.980000,36.470028,68611200
2017-05-15,38.889999,39.150002,37.919998,38.849998,36.348400,90963700
2017-05-22,39.020000,40.990002,38.759998,40.910000,38.275761,98912400
2017-05-29,41.029999,42.169998,40.880001,41.990002,39.286217,87166800
2017-06-05,42.130001,42.180000,40.480000,40.689999,38.069935,86007300
2017-06-12,40.560001,41.520000,40.560001,41.279999,38.621937,78916700
2017-06-19,41.830002,41.919998,39.349998,39.500000,36.956554,109667600
2017-06-26,39.680000,40.000000,38.279999,38.919998,36.413898,104319300
2017-07-03,39.080002,39.250000,38.139999,38.570000,36.233715,63209000
2017-07-10,38.560001,39.490002,38.509998,39.200001,36.825562,82739000
2017-07-17,39.119999,40.000000,38.799999,39.630001,37.229515,60093100
2017-07-24,39.650002,40.250000,38.869999,39.520000,37.126175,126271100
2017-07-31,39.939999,40.849998,39.509998,39.599998,37.201332,91003300
2017-08-07,39.630001,41.279999,39.349998,41.110001,38.619865,80622500
2017-08-14,41.480000,41.990002,40.049999,40.520000,38.065605,78326200
2017-08-21,40.529999,41.509998,39.919998,40.200001,37.764992,67782600
2017-08-28,40.340000,41.230000,40.009998,41.060001,38.572899,54995600
2017-09-04,40.970001,41.340000,37.509998,38.209999,35.895531,150540700
2017-09-11,38.299999,38.830002,36.439999,36.930000,34.693062,178738700
2017-09-18,36.880001,38.139999,36.590000,38.099998,35.792194,137419800
2017-09-25,38.070000,38.840000,37.529999,38.480000,36.149174,97878400
2017-10-02,38.410000,38.849998,37.689999,38.009998,35.707642,96643400
2017-10-09,37.990002,38.250000,35.259998,36.009998,33.970142,146447400
2017-10-16,36.160000,37.220001,36.049999,37.220001,35.111599,99500000
2017-10-23,37.270000,37.270000,35.340000,36.790001,34.705963,191941600
2017-10-30,36.669998,36.700001,34.779999,35.680000,33.658840,139943900
2017-11-06,35.580002,37.310001,35.279999,36.849998,34.762550,119560900
2017-11-13,36.689999,37.570000,36.119999,36.160000,34.111641,116632200
2017-11-20,36.099998,36.509998,35.750000,35.869999,33.838066,70858500
2017-11-27,35.779999,38.700001,35.259998,38.430000,36.253059,168420700
2017-12-04,39.419998,40.730000,37.750000,37.950001,35.800255,160845000
2017-12-11,38.279999,40.150002,37.959999,39.709999,37.460552,156041500
2017-12-18,39.980000,41.240002,38.860001,40.779999,38.469936,104819400
2017-12-25,40.639999,41.009998,40.029999,40.049999,37.781284,43937300
2018-01-01,40.860001,41.369999,40.049999,41.040001,38.715210,74484500
2018-01-08,40.770000,42.709999,40.160000,42.439999,40.194473,108087300
2018-01-15,42.590000,42.590000,41.009998,42.500000,40.251293,81505200
2018-01-22,42.410000,44.000000,41.570000,42.799999,40.535427,146310700
2018-01-29,42.299999,42.730000,40.830002,41.110001,38.934841,128400700
2018-02-05,41.360001,41.639999,37.430000,38.570000,36.529228,195628100
2018-02-12,38.599998,40.419998,38.099998,39.790001,37.684685,115049900
2018-02-19,39.540001,39.840000,38.570000,39.500000,37.410030,67709400
2018-02-26,39.529999,39.740002,35.750000,36.490002,34.559296,217266600
2018-03-05,36.410000,37.139999,36.029999,37.130001,35.165428,121039600
2018-03-12,37.090000,37.220001,35.779999,35.830002,33.934208,133448400
