Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,35.599998,36.070000,35.099998,35.360001,34.967815,32172300
2020-01-27,34.790001,36.450001,33.529999,33.560001,33.187778,78114600
2020-02-03,33.750000,39.250000,33.709999,36.200001,35.798500,131106200
2020-02-10,36.180000,38.230000,35.490002,38.139999,37.716980,50833700
2020-02-17,38.279999,38.939999,37.150002,38.200001,37.776314,46457400
2020-02-24,37.630001,37.869999,33.709999,34.639999,34.255798,79702800
2020-03-02,34.619999,38.540001,34.279999,36.389999,36.151459,70080600
2020-03-09,34.020000,36.610001,32.509998,33.990002,33.767197,82266100
2020-03-16,30.879999,33.939999,27.209999,27.580000,27.399212,95832900
2020-03-23,27.250000,30.870001,26.020000,30.180000,29.982170,89560300
2020-03-30,30.620001,31.540001,28.299999,29.410000,29.217216,68038000
2020-04-06,30.670000,34.099998,30.280001,33.830002,33.608246,50937200
2020-04-13,34.290001,37.639999,33.959999,37.459999,37.214447,65745700
2020-04-20,37.470001,39.529999,37.279999,39.349998,39.092060,66919100
2020-04-27,40.040001,40.360001,37.549999,39.250000,38.992714,77420800
2020-05-04,39.279999,42.439999,39.060001,42.150002,41.873707,55195000
2020-05-11,41.880001,42.860001,40.810001,42.110001,41.833969,58670100
2020-05-18,42.599998,43.500000,42.209999,43.450001,43.165188,49926400
2020-05-25,43.990002,45.650002,42.860001,45.540001,45.241486,49473200
2020-06-01,45.400002,51.880001,45.009998,48.820000,48.676067,75096900
2020-06-08,48.299999,50.340000,46.849998,47.660000,47.519489,53047400
2020-06-15,46.939999,49.099998,46.639999,48.290001,48.147633,79699200
2020-06-22,48.340000,51.279999,48.009998,50.889999,50.739964,62552900
2020-06-29,51.070000,54.880001,50.119999,54.360001,54.199734,40842000
2020-07-06,55.490002,60.529999,54.939999,59.270000,59.095261,58823600
2020-07-13,60.290001,61.060001,57.240002,58.130001,57.958622,47767700
2020-07-20,58.709999,59.549999,54.040001,55.119999,54.957493,49961200
2020-07-27,55.730000,57.380001,53.660000,55.279999,55.117020,50101800
2020-08-03,55.689999,56.930000,54.779999,55.209999,55.047226,36951700
2020-08-10,55.220001,57.599998,53.700001,56.290001,56.124046,37030600
2020-08-17,56.689999,59.060001,56.299999,58.209999,58.038383,30948200
2020-08-24,58.459999,58.959999,54.049999,54.270000,54.110001,38093500
2020-08-31,54.000000,55.419998,52.590000,53.160000,53.003273,44592100
2020-09-04,52.820000,53.330002,50.950001,52.540001,52.540001,9971559
