Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,454.989990,476.786011,454.089996,465.480011,465.480011,9083800
2020-01-27,447.619995,482.869995,436.739990,465.660004,465.660004,9279300
2020-02-03,468.250000,495.000000,457.250000,478.690002,478.690002,8632200
2020-02-10,479.109985,593.890015,476.529999,531.219971,531.219971,21068100
2020-02-17,534.000000,549.684998,507.399994,520.659973,520.659973,8624900
2020-02-24,482.000000,504.045013,420.500000,463.309998,463.309998,16419800
2020-03-02,483.200012,514.000000,459.147003,472.070007,472.070007,14470600
2020-03-09,430.820007,450.500000,363.010010,390.899994,390.899994,16397100
2020-03-16,339.000000,372.542999,305.299988,346.059998,346.059998,19486000
2020-03-23,346.540009,470.570007,335.119995,421.619995,421.619995,16381900
2020-03-30,423.489990,439.589996,334.549988,357.649994,357.649994,13643000
2020-04-06,380.000000,439.000000,369.299988,417.739990,417.739990,12269400
2020-04-13,423.700012,591.830017,417.809998,590.390015,590.390015,19397700
2020-04-20,585.000000,665.739990,556.010010,643.190002,643.190002,32748100
2020-04-27,662.599976,662.599976,595.030029,613.640015,613.640015,15078800
2020-05-04,620.640015,739.239990,617.010010,708.969971,708.969971,23516200
2020-05-11,706.960022,774.789978,703.780029,767.000000,767.000000,17604000
2020-05-18,770.000000,826.380005,713.190002,825.169983,825.169983,19088600
2020-05-25,842.000000,844.000000,685.000000,757.799988,757.799988,20384600
2020-06-01,754.719971,784.299988,702.020020,727.770020,727.770020,11644200
2020-06-08,715.000000,765.520020,708.010010,742.580017,742.580017,9308600
2020-06-15,777.000000,895.559998,769.864990,881.000000,881.000000,15645000
2020-06-22,895.119995,928.000000,868.000000,910.000000,910.000000,13386000
2020-06-29,913.989990,1059.439941,876.429993,1029.969971,1029.969971,12397300
2020-07-06,1052.489990,1059.000000,973.000000,1031.859985,1031.859985,14272500
2020-07-13,1043.000000,1074.975952,901.739990,928.130005,928.130005,13956800
2020-07-20,929.000000,1024.979980,883.179993,929.809998,929.809998,13818300
2020-07-27,947.570007,1107.920044,935.140015,1024.000000,1024.000000,18149200
2020-08-03,1032.000000,1105.000000,1028.959961,1053.119995,1053.119995,8735000
2020-08-10,1055.000000,1064.000000,964.739990,987.900024,987.900024,9383400
2020-08-17,999.000000,1046.979980,993.169983,1021.119995,1021.119995,6408700
2020-08-24,1032.000000,1115.989990,988.880005,1042.060059,1042.060059,9212100
2020-08-31,1048.510010,1146.910034,993.859985,1015.700012,1015.700012,8838900
2020-09-04,996.190002,1018.979980,896.479980,973.020020,973.020020,3461003
